ad_id,date,ad_spend,impressions,clicks,ctr,conversions
34,2024-02-03,476.99849176399994,52941,3988,0.07532913998602217,385
35,2024-02-04,484.53441488355173,31834,2888,0.09072061318087579,301
36,2024-02-05,413.7788066524075,28047,2519,0.08981352729347167,198
37,2024-02-06,187.07619612801682,36105,2895,0.08018280016618197,315
38,2024-02-07,93.95245130287275,85766,5813,0.0677774409439638,308
39,2024-02-08,357.9048619304706,25707,451,0.017543859649122806,24
40,2024-02-09,248.06862218282058,31976,784,0.024518388791593695,103
41,2024-02-10,104.91720568015047,54262,4930,0.0908554789723932,424
42,2024-02-11,272.8296095500716,33776,2181,0.06457247749881573,136
43,2024-02-12,65.47483450184828,40080,433,0.010803393213572854,44
44,2024-02-13,459.1941809354519,76842,1470,0.019130163192004373,186
45,2024-02-14,166.4509917200076,71373,4975,0.06970422989085509,356
46,2024-02-15,348.1350279592919,16776,175,0.010431568907963758,19
47,2024-02-16,190.26998424023492,65016,1591,0.02447089947089947,93
48,2024-02-17,284.0306095300149,19474,1156,0.05936119954811544,63
49,2024-02-18,296.01962570447586,68053,4918,0.07226720350315195,507
50,2024-02-19,133.18450498648716,31959,2194,0.06865045839982478,228
51,2024-02-20,486.31308249405134,15530,468,0.03013522215067611,53
52,2024-02-21,398.80977051250153,13748,1018,0.07404713412860052,124
53,2024-02-22,472.7745237038851,23545,738,0.0313442344446804,108
54,2024-02-23,452.67230769244196,76199,2993,0.039278730692003834,304
55,2024-02-24,319.0549904649883,44766,3455,0.07717910914533352,284
56,2024-02-25,464.84340576040256,83530,5719,0.06846641925056866,740
57,2024-02-26,89.82162592336377,71087,6144,0.08642930493620493,473
58,2024-02-27,138.19228808861533,78840,5454,0.06917808219178082,512
59,2024-02-28,70.35228000974213,64384,3936,0.06113320079522863,227
60,2024-02-29,196.39864884346895,61005,1124,0.018424719285304484,59
61,2024-03-01,224.9047803602669,56576,2438,0.04309247737556561,356
62,2024-03-02,172.10706429825316,49353,1671,0.033858124126192934,223
63,2024-03-03,422.9318791183682,72003,2301,0.03195700179159202,275
64,2024-03-04,210.53899701211517,93211,9094,0.09756359227988114,826
65,2024-03-05,176.42052935932134,62733,2846,0.04536687230006536,191
66,2024-03-06,294.21323742121183,75318,6800,0.09028386308717704,446
67,2024-03-07,113.41590123864319,99474,6645,0.06680137523372942,498
68,2024-03-08,410.98864133931784,33664,2744,0.08151140684410646,287
69,2024-03-09,83.54778965589686,77172,4262,0.055227284507334266,517
70,2024-03-10,494.0991214702328,95616,5920,0.06191432396251673,686
71,2024-03-11,397.51014618349586,36736,1995,0.05430640243902439,155
72,2024-03-12,139.4220566903776,10854,299,0.027547447945457895,43
73,2024-03-13,52.48495270562108,48623,3647,0.07500565575961993,451
74,2024-03-14,416.95764280467534,17392,613,0.035246090156393746,64
75,2024-03-15,368.0858047314277,65680,800,0.012180267965895249,88
76,2024-03-16,378.0532256184443,56717,3862,0.06809245905107816,355
77,2024-03-17,397.0716560086756,97092,2518,0.025934165533720594,188
78,2024-03-18,83.32009328034066,60859,5759,0.09462856767281749,492
79,2024-03-19,211.30957784492267,36309,3480,0.09584400561844171,437
80,2024-03-20,102.14107678630837,97455,8998,0.09232979323790468,462
81,2024-03-21,438.3965416440171,73734,3193,0.04330431008761223,196
82,2024-03-22,330.48415707240105,80467,916,0.01138354853542446,50
83,2024-03-23,198.90411118369212,62662,5861,0.09353356100986243,316
84,2024-03-24,78.60125762871064,22688,1101,0.048527856135401976,149
85,2024-03-25,189.94204477204798,35342,3428,0.09699507667930507,412
86,2024-03-26,196.33249491203617,47157,4561,0.09671946900778251,444
87,2024-03-27,378.32278025212884,77863,6756,0.08676778444190437,403
88,2024-03-28,336.9008621098459,62083,2266,0.03649952482966352,224
89,2024-03-29,449.24573415934697,75733,3382,0.044656886694043545,329
90,2024-03-30,262.4967163228772,99045,8577,0.0865970013630168,577
